Date,senti
1976-04-01,99.8108165378439
1976-05-01,99.9666937271748
1976-06-01,100.166316086129
1976-07-01,100.310040106343
1976-08-01,100.319059297213
1976-09-01,100.247620339444
1976-10-01,100.16602913321
1976-11-01,100.124114994943
1976-12-01,100.124847102589
1977-01-01,100.170247698699
1977-02-01,100.264659048805
1977-03-01,100.373341910128
1977-04-01,100.452035202938
1977-05-01,100.462244171888
1977-06-01,100.416518114669
1977-07-01,100.320252630403
1977-08-01,100.169426894203
1977-09-01,99.9988803587886
1977-10-01,99.8491814908996
1977-11-01,99.7532173057303
1977-12-01,99.7019352350363
1978-01-01,99.6683241383196
1978-02-01,99.5867131995387
1978-03-01,99.4463690021447
1978-04-01,99.4450896418471
1978-05-01,99.4697031624858
1978-06-01,99.4332683949213
1978-07-01,99.4064249800287
