Date,senti
1976-04-01,99.8070528294961
1976-05-01,99.9631554014821
1976-06-01,100.163066394184
1976-07-01,100.306998224799
1976-08-01,100.316030456507
1976-09-01,100.244488205228
1976-10-01,100.16277902636
1976-11-01,100.120804284487
1976-12-01,100.121537450686
1977-01-01,100.167003691468
1977-02-01,100.26155155084
1977-03-01,100.370391556592
1977-04-01,100.449198631947
1977-05-01,100.459422362034
1977-06-01,100.41363018956
1977-07-01,100.317225515136
1977-08-01,100.166181700172
1977-09-01,99.9953885717108
1977-10-01,99.8454732543948
1977-11-01,99.7493703147166
1977-12-01,99.6980140953334
1978-01-01,99.6643544003694
1978-02-01,99.5826254604225
1978-03-01,99.4420783395092
1978-04-01,99.440797129386
1978-05-01,99.4654462386869
1978-06-01,99.4289587901324
1978-07-01,99.402076562376
