Date,bus_confidence
1976-04-01,101.462775783429
1976-05-01,101.281527081157
1976-06-01,101.000373161276
1976-07-01,100.637271225901
1976-08-01,100.310154638275
1976-09-01,100.08469634778
1976-10-01,99.9877411669187
1976-11-01,100.0311098621
1976-12-01,100.286148312316
1977-01-01,100.437050414547
1977-02-01,100.623714720828
1977-03-01,100.887533936609
1977-04-01,101.02954265885
1977-05-01,101.108402914685
1977-06-01,100.962305106333
1977-07-01,100.757476376569
1977-08-01,100.484503773583
1977-09-01,100.364817180452
1977-10-01,100.496293296818
1977-11-01,100.748882010129
1977-12-01,100.969220612114
1978-01-01,100.884887240795
1978-02-01,100.713085099512
1978-03-01,100.707231295692
1978-04-01,100.9926686493
1978-05-01,101.370865296943
1978-06-01,101.638939937386
1978-07-01,101.771615738636
